title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,genres,awards
Eye of the Needle,Ken Follett (Goodreads Author),"3,062reviews","['134,255']",4.19,339,1978,"['Fiction', 'Thriller', 'Historical']",Edgar Award for Best Novel (1979)
The Hamlet,William Faulkner,282reviews,"['4,792']",3.86,409,1940,"['Fiction', 'Classics', 'Literature']",
London,Edward Rutherfurd (Goodreads Author),"1,674reviews","['27,684']",4.06,1152,1997,"['Historical', 'Historical Fiction', 'Fiction']",
The Pilot's Wife,Anita Shreve,"4,544reviews","['92,812']",3.54,304,1998,"['Fiction', 'Womens Fiction', 'Chick Lit']",
Goodbye to All That,Robert Graves,680reviews,"['13,076']",3.92,281,1929,"['Nonfiction', 'History', 'Biography']",
Homo Faber,"Max Frisch, ",566reviews,"['18,927']",3.74,228,1957,"['Classics', 'Fiction', 'European Literature']",
To Say Nothing of the Dog,Connie Willis,"3,994reviews","['34,995']",4.12,512,1998,"['Science Fiction', 'Science Fiction', 'Time Travel']","Hugo Award for Best Novel (1999), Nebula Award Nominee for Best Novel (1998), Locus Award for Best Science Fiction Novel (1999), Kurd-Laßwitz-Preis for Bestes ausländisches Werk (2002), Grand Prix de l'Imaginaire Nominee for Roman étranger (2001)...moreALA Alex Award (1998), Prix Bob Morane for roman traduit (2001)...less "
Ceremony,Leslie Marmon Silko,"1,471reviews","['18,583']",3.80,262,1977,"['Fiction', 'Classics', 'Historical']",American Book Award (1980)
Anne's House of Dreams,L.M. Montgomery,"2,598reviews","['88,740']",4.14,227,1917,"['Classics', 'Fiction', 'Young Adult']",
Man's Fate,"André Malraux, ",270reviews,"['4,611']",3.76,368,1933,"['Fiction', 'Cultural', 'France']",Prix Goncourt (1933)
The Rules of Attraction,Bret Easton Ellis,"1,413reviews","['41,738']",3.69,283,1987,"['Fiction', 'Contemporary', 'Novels']",
Hatchet,Gary Paulsen,"14,867reviews","['324,638']",3.74,208,1987,"['Young Adult', 'Fiction', 'Adventure']","Newbery Medal Nominee (1988), Young Hoosier Book Award for 6-8 (1991), Buckeye Children's Book Award for 6-8 (1991), Massachusetts Children's Book Award (1995), Flicker Tale Children's Book Award (1990)...moreDorothy Canfield Fisher Children's Book Award (1989), Golden Archer Award (1989), Soaring Eagle Book Award (1997), Iowa Teen Award (1990), California Young Readers Medal Nominee for Middle School/Junior High (1990), Minnesota Book Award (1988), William Allen White Children's Book Award (1990), Bluestem Book Award Nominee (2016), Virginia Reader's Choice for Middle (1989), Oklahoma Sequoyah Award for YA (1990), Margaret A. Edwards Award (1997)...less "
Less Than Zero,Bret Easton Ellis,"3,551reviews","['76,396']",3.56,208,1985,"['Fiction', 'Contemporary', 'Novels']",
Storm Front,Jim Butcher (Goodreads Author),"17,060reviews","['309,316']",3.99,355,,"['Fantasy', 'Fantasy', 'Urban Fantasy']",Compton Crook Award Nominee (2001)
The Great Santini,Pat Conroy,"1,241reviews","['30,162']",4.15,440,1976,"['Fiction', 'American', 'Southern']",
This Boy's Life,Tobias Wolff,"1,518reviews","['26,255']",3.97,304,1989,"['Autobiography', 'Memoir', 'Nonfiction']","Ambassador Book Award for Autobiography (1990), Los Angeles Times Book Prize for Biography (1989), National Book Critics Circle Award Nominee for Biography/Autobiography (1989)"
Mrs. Mike,"Benedict Freedman, ","2,121reviews","['17,485']",4.14,283,1947,"['Historical', 'Historical Fiction', 'Fiction']",
Dispatches,Michael Herr,"1,091reviews","['16,721']",4.23,260,1977,"['Nonfiction', 'History', 'War']","National Book Critics Circle Award Nominee for General Nonfiction (1977), Premio Internacional de la Prensa (1978)"
Red Dragon,Thomas  Harris,"5,376reviews","['288,415']",4.03,454,1981,"['Horror', 'Fiction', 'Thriller']",
